Offset,Time
+0.002,16:31:08.658906
+0.004,16:31:09.697780
+0.002,16:31:10.820913
+0.002,16:31:11.865977
+0.001,16:31:12.905816
+0.002,16:31:13.949336
+0.002,16:31:14.988429
+0.002,16:31:16.028306
-0.046,16:31:17.169349
+0.002,16:31:18.215457
-0.007,16:31:19.316056
+0.003,16:31:20.358833
+0.002,16:31:21.401283
+0.000,16:31:22.446384
-0.009,16:31:23.526726
+0.004,16:31:24.571626
+0.002,16:31:25.611738
+0.002,16:31:26.653073
+0.002,16:31:27.697795
+0.003,16:31:28.741837
+0.002,16:31:29.784912
-0.025,16:31:30.877987
+0.001,16:31:31.921501
-0.038,16:31:33.044838
+0.003,16:31:34.087335
+0.003,16:31:35.126804
+0.004,16:31:36.171810
+0.003,16:31:37.215105
+0.002,16:31:38.256139
-0.044,16:31:39.389916
+0.003,16:31:40.431329
+0.042,16:31:41.552312
+0.002,16:31:42.592632
-0.391,16:31:44.420309
+0.002,16:31:45.458245
+0.001,16:31:46.500638
+0.002,16:31:47.543351
-0.011,16:31:48.608948
+0.003,16:31:49.650779
+0.002,16:31:50.694919
+0.002,16:31:51.738499
-0.000,16:31:52.808478
+0.002,16:31:53.851967
+0.002,16:31:54.891695
+0.002,16:31:55.932076
+0.003,16:31:57.004070
+0.002,16:31:58.044119
+0.002,16:31:59.081264
+0.002,16:32:00.123081
+0.002,16:32:01.169469
+0.003,16:32:02.211099
+0.002,16:32:03.252821
+0.003,16:32:04.292672
-0.021,16:32:05.405523
+0.003,16:32:06.450140
+0.003,16:32:07.493562
+0.003,16:32:08.538338
+0.004,16:32:09.574891
-0.005,16:32:10.631175
-0.019,16:32:11.754090
+0.003,16:32:12.793099
+0.003,16:32:13.834685
+0.003,16:32:14.875187
-0.008,16:32:15.947670
+0.002,16:32:16.988796
+0.002,16:32:18.030397
+0.001,16:32:19.070512
+0.023,16:32:20.155117
+0.001,16:32:21.196316
-0.022,16:32:22.296405
+0.002,16:32:23.341831
+0.003,16:32:24.385960
+0.002,16:32:25.429480
+0.002,16:32:26.472046
+0.004,16:32:27.518321
-0.042,16:32:28.646758
+0.001,16:32:29.689923
+0.003,16:32:30.731181
+0.000,16:32:31.770387
+0.003,16:32:32.814999
+0.002,16:32:33.855288
+0.001,16:32:34.898026
+0.004,16:32:35.941895
+0.004,16:32:36.982093
+0.003,16:32:38.024399
-0.002,16:32:39.091862
+0.003,16:32:40.138871
-0.019,16:32:41.241428
+0.003,16:32:42.279656
-0.027,16:32:43.389765
+0.003,16:32:44.427037
+0.004,16:32:45.470633
+0.003,16:32:46.514478
-0.011,16:32:47.589141
+0.001,16:32:48.626528
+0.002,16:32:49.661473
+0.002,16:32:50.702206
-0.021,16:32:51.787698
+0.001,16:32:52.828782
+0.002,16:32:53.865979
+0.000,16:32:54.905969
+0.001,16:32:55.946770
+0.002,16:32:56.987467
+0.002,16:32:58.030473
+0.002,16:32:59.067998
-0.034,16:33:00.184001
+0.003,16:33:01.225184
+0.001,16:33:02.264799
+0.004,16:33:03.308354
+0.002,16:33:04.344099
+0.002,16:33:05.381735
+0.001,16:33:06.419552
+0.002,16:33:07.459239
+0.004,16:33:08.503919
-0.007,16:33:09.606347
+0.002,16:33:10.646809
+0.002,16:33:11.686721
+0.002,16:33:12.724164
+0.002,16:33:13.762983
+0.002,16:33:14.802173
+0.009,16:33:15.860061
+0.002,16:33:16.901049
+0.002,16:33:17.935470
+0.003,16:33:18.972019
+0.002,16:33:20.013049
+0.002,16:33:21.054041
+0.001,16:33:22.096166
-0.043,16:33:23.223427
+0.001,16:33:24.261978
+0.002,16:33:25.301845
+0.002,16:33:26.344776
+0.001,16:33:27.382056
-0.006,16:33:28.447943
+0.002,16:33:29.488041
+0.002,16:33:30.528141
+0.001,16:33:31.570860
+0.003,16:33:32.611283
+0.001,16:33:33.652739
+0.007,16:33:34.706410
+0.001,16:33:35.746852
+0.002,16:33:36.786279
-0.018,16:33:37.870216
+0.000,16:33:38.911235
+0.002,16:33:39.951449
+0.003,16:33:40.991215
+0.003,16:33:42.031234
+0.002,16:33:43.074236
+0.001,16:33:44.116626
+0.016,16:33:45.245667
+0.001,16:33:46.289027
+0.001,16:33:47.325044
+0.002,16:33:48.370747
+0.002,16:33:49.407561
+0.002,16:33:50.443222
+0.002,16:33:51.479883
+0.002,16:33:52.519791
-0.021,16:33:53.637385
+0.001,16:33:54.687090
+0.001,16:33:55.721972
+0.002,16:33:56.757685
+0.001,16:33:57.796188
+0.002,16:33:58.837926
